datetime,account,category,amount,currency,note,record_type
2016-10-31 00:00:00,One,增肥,-131.0,TWD,麥噹噹,transaction
2016-10-31 00:00:00,One,頭暈,-260.0,TWD,牙齒美白,transaction
2016-11-01 00:00:00,One,增肥,-50.0,TWD,雙Q奶茶,transaction
2016-11-01 00:00:00,One,增肥,-240.0,TWD,火鍋,transaction
2016-11-01 00:00:00,One,補給,1000.0,TWD,From Emma,transaction
2016-11-02 00:00:00,One,增肥,-117.0,TWD,早餐,transaction
2016-11-02 00:00:00,One,增肥,-250.0,TWD,晚餐,transaction
2016-11-02 00:00:00,One,增肥,-62.0,TWD,,transaction
2016-11-03 00:00:00,One,增肥,-226.0,TWD,,transaction
2016-11-03 00:00:00,One,增肥,-90.0,TWD,晚餐,transaction
2016-11-03 00:00:00,One,補給,65.0,TWD,別人補我錢,transaction
2016-11-04 00:00:00,One,增肥,-179.0,TWD,麥噹噹,transaction
2016-11-05 00:00:00,One,苦口,-240.0,TWD,拿過敏藥,transaction
2016-11-05 00:00:00,One,增肥,-105.0,TWD,早餐,transaction
2016-11-05 00:00:00,One,補給,250.0,TWD,,transaction
2016-11-05 00:00:00,One,增肥,-200.0,TWD,微笑的魚,transaction
2016-11-06 00:00:00,One,汽車,-120.0,TWD,洗車,transaction
2016-11-06 00:00:00,One,增肥,-75.0,TWD,,transaction
2016-11-07 00:00:00,One,帳單,-150.0,TWD,PP板,transaction
2016-11-07 00:00:00,One,增肥,-140.0,TWD,麥噹噹,transaction
2016-11-08 00:00:00,One,增肥,-55.0,TWD,咖啡,transaction
2016-11-09 00:00:00,One,增肥,-86.0,TWD,中餐,transaction
2016-11-09 00:00:00,One,增肥,-160.0,TWD,,transaction
2016-11-09 00:00:00,One,遮羞,-438.0,TWD,,transaction
2016-11-10 00:00:00,One,增肥,-290.0,TWD,,transaction
2016-11-10 00:00:00,One,補給,300.0,TWD,,transaction
2016-11-11 00:00:00,One,增肥,-28.0,TWD,,transaction
2016-11-11 00:00:00,One,增肥,-110.0,TWD,燒烤,transaction
2016-11-11 00:00:00,One,增肥,-60.0,TWD,啤酒,transaction
2016-11-12 00:00:00,One,補給,1000.0,TWD,,transaction
